Project Name,Size of fix,Fix duration,Category
brendanhasz/probflow,5,413,ml
brendanhasz/probflow,12,27,ml
brendanhasz/probflow,4117,166,ml
brendanhasz/probflow,709,171,ml
hackingmaterials/automatminer,7794,6,ml
hackingmaterials/automatminer,7794,6,ml
HunterMcGushion/hyperparameter_hunter,13,4,ml
HunterMcGushion/hyperparameter_hunter,1398,51,ml
HunterMcGushion/hyperparameter_hunter,221,128,ml
qubvel/efficientnet,1,421,ml
qubvel/efficientnet,1,1008,ml
qubvel/efficientnet,3,2,ml
netrack/keras-metrics,5,2,ml
netrack/keras-metrics,0,23,ml
NRCan/geo-deep-learning,55,0,ml
NRCan/geo-deep-learning,16,14,ml
NRCan/geo-deep-learning,645,77,ml
NRCan/geo-deep-learning,329,2,ml
NRCan/geo-deep-learning,2,27,ml
NRCan/geo-deep-learning,115,5,ml
NRCan/geo-deep-learning,2,49,ml
NRCan/geo-deep-learning,115,4,ml
NRCan/geo-deep-learning,107,290,ml
NRCan/geo-deep-learning,75,266,ml
NRCan/geo-deep-learning,0,0,ml
NRCan/geo-deep-learning,105,396,ml
NRCan/geo-deep-learning,35,10,ml
NRCan/geo-deep-learning,5,5,ml
NRCan/geo-deep-learning,107,486,ml
justinshenk/fer,0,182,ml
onnx/onnxmltools,9,4,ml
onnx/onnxmltools,109,5,ml
onnx/onnxmltools,38,15,ml
onnx/onnxmltools,292,8,ml
ProGamerGov/neural-style-pt,24,10,ml
BindsNET/bindsnet,3,4,ml
BindsNET/bindsnet,8,10,ml
BindsNET/bindsnet,96,19,ml
blue-oil/blueoil,0,38,ml
blue-oil/blueoil,1,480,ml
blue-oil/blueoil,2,36,ml
blue-oil/blueoil,118,7,ml
blue-oil/blueoil,3,302,ml
blue-oil/blueoil,3,1,ml
blue-oil/blueoil,0,2,ml
blue-oil/blueoil,0,6,ml
blue-oil/blueoil,8,8,ml
blue-oil/blueoil,2,319,ml
medipixel/rl_algorithms,140,3,ml
medipixel/rl_algorithms,8,60,ml
medipixel/rl_algorithms,19,5,ml
medipixel/rl_algorithms,8,90,ml
medipixel/rl_algorithms,14,99,ml
medipixel/rl_algorithms,1489,4,ml
ludwig-ai/ludwig,83,4,ml
ludwig-ai/ludwig,4,0,ml
ludwig-ai/ludwig,61,6,ml
ludwig-ai/ludwig,567,58,ml
ludwig-ai/ludwig,409,651,ml
ludwig-ai/ludwig,14,5,ml
ludwig-ai/ludwig,5,20,ml
ludwig-ai/ludwig,1,0,ml
ludwig-ai/ludwig,4,0,ml
ludwig-ai/ludwig,112,54,ml
ludwig-ai/ludwig,1,0,ml
ludwig-ai/ludwig,132,25,ml
ludwig-ai/ludwig,45,37,ml
ludwig-ai/ludwig,28,0,ml
ludwig-ai/ludwig,18,0,ml
ludwig-ai/ludwig,1,128,ml
ludwig-ai/ludwig,402,141,ml
ludwig-ai/ludwig,6,0,ml
ludwig-ai/ludwig,0,26,ml
ludwig-ai/ludwig,409,780,ml
philipperemy/keras-tcn,1,1,ml
philipperemy/keras-tcn,3,9,ml
atomistic-machine-learning/schnetpack,11,87,ml
atomistic-machine-learning/schnetpack,2,380,ml
catalyst-team/catalyst,355,55,ml
sktime/sktime,28,0,ml
sktime/sktime,2307,344,ml
sktime/sktime,13,238,ml
sktime/sktime,264,20,ml
sktime/sktime,334,102,ml
sktime/sktime,500,77,ml
sktime/sktime,22,35,ml
sktime/sktime,74,6,ml
sktime/sktime,28,327,ml
sktime/sktime,97,5,ml
sktime/sktime,12,6,ml
sktime/sktime,30,16,ml
sktime/sktime,799,70,ml
sktime/sktime,539,8,ml
sktime/sktime,131,111,ml
sktime/sktime,111,11,ml
sktime/sktime,6,3,ml
sktime/sktime,11,12,ml
sktime/sktime,8,241,ml
sktime/sktime,17,8,ml
sktime/sktime,29,2,ml
sktime/sktime,30,84,ml
sktime/sktime,406,107,ml
sktime/sktime,2,5,ml
sktime/sktime,118,3,ml
sktime/sktime,29,9,ml
sktime/sktime,41,34,ml
sktime/sktime,262,47,ml
sktime/sktime,482,142,ml
sktime/sktime,15,5,ml
sktime/sktime,37,16,ml
sktime/sktime,556,31,ml
intel/dffml,129,296,ml
intel/dffml,126,38,ml
intel/dffml,0,10,ml
intel/dffml,5,51,ml
intel/dffml,126,75,ml
autonomio/talos,216,15,ml
pyro-ppl/funsor,71,156,ml
pyro-ppl/funsor,141,695,ml
pyro-ppl/funsor,20,4,ml
pyro-ppl/funsor,3,17,ml
kymatio/kymatio,11,90,ml
kymatio/kymatio,551,909,ml
kymatio/kymatio,84,63,ml
kymatio/kymatio,19,3,ml
kymatio/kymatio,16,83,ml
kymatio/kymatio,48,0,ml
kymatio/kymatio,261,1,ml
kymatio/kymatio,48,38,ml
kymatio/kymatio,0,25,ml
kymatio/kymatio,6,34,ml
kymatio/kymatio,16,288,ml
kymatio/kymatio,2,6,ml
kymatio/kymatio,376,173,ml
kymatio/kymatio,4,496,ml
