Project Name, Issue URL, Issue number, Closed PR that mention, Category
aiqm/torchani,https://github.com/aiqm/torchani/issues/485,485,488,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/243,243,279,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/618,618,619,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/141,141,150,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/182,182,357,non-ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/2011,2011,2020,non-ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1006,1006,1059,non-ml
marl/openl3,https://github.com/marl/openl3/issues/85,85,86,non-ml
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/306,306,307,non-ml
stared/livelossplot,https://github.com/stared/livelossplot/issues/7,7,8,non-ml
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/835,835,847,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/20,20,54,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/34,34,37,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/38,38,41,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/9,9,40,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/35,35,36,non-ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/82,82,90,non-ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/253,253,255,non-ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/102,102,121,non-ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/69,69,76,non-ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/90,90,95,non-ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/127,127,128,non-ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/55,55,56,non-ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/39,39,42,non-ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/13,13,25,non-ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/14,14,15,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/251,251,253,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/98,98,112,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/77,77,95,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/420,420,421,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/362,362,364,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/231,231,232,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/99,99,100,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/411,411,414,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/86,86,91,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/127,127,133,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/90,90,91,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/311,311,315,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/422,422,424,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/81,81,100,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/423,423,424,non-ml
justinshenk/fer,https://github.com/justinshenk/fer/issues/24,24,25,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/482,482,491,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/495,495,497,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/540,540,555,non-ml
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/551,551,552,non-ml
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/64,64,65,non-ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/565,565,566,non-ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/212,212,213,non-ml
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/140,140,141,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/197,197,198,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/267,267,268,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/712,712,724,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/529,529,541,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/260,260,261,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1201,1201,1235,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1173,1173,1177,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/491,491,513,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1226,1226,1228,non-ml
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1158,1158,1159,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/251,251,252,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/247,247,246,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/230,230,234,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/263,263,280,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/255,255,257,non-ml
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/254,254,256,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2110,2110,2109,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1802,1802,1830,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1479,1479,1669,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1341,1341,1344,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/552,552,553,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1875,1875,1878,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1147,1147,1148,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/807,807,808,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1404,1404,1410,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/865,865,895,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2499,2499,2508,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1365,1365,1376,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/491,491,530,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1492,1492,1589,non-ml
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/833,833,861,non-ml
