Project Name, Issue URL, PR URL, Line Change, Fix duration (days), Category
aiqm/torchani,https://github.com/aiqm/torchani/issues/485,https://github.com/aiqm/torchani/pull/488,12,5,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/243,https://github.com/aiqm/torchani/pull/279,144,63,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/618,https://github.com/aiqm/torchani/pull/619,0,10,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/141,https://github.com/aiqm/torchani/pull/150,19,28,non-ml
aiqm/torchani,https://github.com/aiqm/torchani/issues/182,https://github.com/aiqm/torchani/pull/357,0,251,non-ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/2011,https://github.com/DeepLabCut/DeepLabCut/pull/2020,19,35,non-ml
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1006,https://github.com/DeepLabCut/DeepLabCut/pull/1059,12,44,non-ml
marl/openl3,https://github.com/marl/openl3/issues/85,https://github.com/marl/openl3/pull/86,0,62,non-ml
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/306,https://github.com/HazyResearch/fonduer/pull/307,2,0,non-ml
stared/livelossplot,https://github.com/stared/livelossplot/issues/7,https://github.com/stared/livelossplot/pull/8,0,1,non-ml
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/835,https://github.com/mozilla/bugbug/pull/847,6,2,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/20,https://github.com/brendanhasz/probflow/pull/54,253,176,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/34,https://github.com/brendanhasz/probflow/pull/37,227,3,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/38,https://github.com/brendanhasz/probflow/pull/41,334,0,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/9,https://github.com/brendanhasz/probflow/pull/40,127,408,non-ml
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/35,https://github.com/brendanhasz/probflow/pull/36,1278,2,non-ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/82,https://github.com/hackingmaterials/automatminer/pull/90,46,8,non-ml
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/253,https://github.com/hackingmaterials/automatminer/pull/255,156,4,non-ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/102,https://github.com/HunterMcGushion/hyperparameter_hunter/pull/121,52,82,non-ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/69,https://github.com/HunterMcGushion/hyperparameter_hunter/pull/76,407,20,non-ml
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/90,https://github.com/HunterMcGushion/hyperparameter_hunter/pull/95,53,9,non-ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/127,https://github.com/qubvel/efficientnet/pull/128,3,18,non-ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/55,https://github.com/qubvel/efficientnet/pull/56,4,0,non-ml
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/39,https://github.com/qubvel/efficientnet/pull/42,537,1,non-ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/13,https://github.com/netrack/keras-metrics/pull/25,25,132,non-ml
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/14,https://github.com/netrack/keras-metrics/pull/15,0,56,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/251,https://github.com/NRCan/geo-deep-learning/pull/253,103,0,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/98,https://github.com/NRCan/geo-deep-learning/pull/112,1312,336,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/77,https://github.com/NRCan/geo-deep-learning/pull/95,28,108,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/420,https://github.com/NRCan/geo-deep-learning/pull/421,0,0,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/362,https://github.com/NRCan/geo-deep-learning/pull/364,57,13,non-ml
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/231,https://github.com/NRCan/geo-deep-learning/pull/232,4,6,non-ml
