Name,URL,Created_at,Star,Last commit
BloodAxe/pytorch-toolbelt,https://github.com/BloodAxe/pytorch-toolbelt,2019-03-15T16:02:49Z,1339,2023-01-02T12:40:05Z
oseiskar/autosubsync,https://github.com/oseiskar/autosubsync,2018-09-30T09:41:16Z,268,2021-03-06T09:37:35Z
SimGus/Chatette,https://github.com/SimGus/Chatette,2018-08-16T12:26:25Z,281,2021-08-12T09:52:33Z
budzianowski/multiwoz,https://github.com/budzianowski/multiwoz,2018-10-01T19:50:35Z,685,2022-12-28T00:52:48Z
Droidtown/ArticutAPI,https://github.com/Droidtown/ArticutAPI,2019-04-26T02:38:33Z,377,2022-10-31T02:46:57Z
wentaoyuan/pcn,https://github.com/wentaoyuan/pcn,2018-08-01T01:42:13Z,337,2021-04-20T10:55:56Z
ultralytics/yolov3,https://github.com/ultralytics/yolov3,2018-08-26T08:57:20Z,9247,2023-01-02T20:48:03Z
gsurma/cartpole,https://github.com/gsurma/cartpole,2018-08-18T00:25:15Z,131,2022-10-21T07:50:12Z
brent-stone/CAN_Reverse_Engineering,https://github.com/brent-stone/CAN_Reverse_Engineering,2019-03-08T19:10:03Z,330,2022-02-01T21:43:09Z
thushv89/attention_keras,https://github.com/thushv89/attention_keras,2019-03-16T23:07:20Z,422,2022-11-22T05:13:10Z
MrEliptik/HandPose,https://github.com/MrEliptik/HandPose,2018-12-27T12:41:15Z,218,2022-11-21T21:23:59Z
amosbastian/understat,https://github.com/amosbastian/understat,2019-03-06T15:49:04Z,132,2023-01-04T17:13:35Z
wvangansbeke/Sparse-Depth-Completion,https://github.com/wvangansbeke/Sparse-Depth-Completion,2019-01-27T17:47:45Z,409,2022-05-01T07:07:07Z
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor,2019-01-30T23:13:39Z,209,2022-12-28T19:16:12Z
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn,2018-03-22T02:40:06Z,1589,2022-09-26T01:56:47Z
